"vectorZ","resultados"
55.10458279803831,51.656717204592375+6.821881769209206*I
61.35156713914526,51.98439334436542+6.821881769209206*I
81.63062111771595,52.814147035199824+6.821881769209206*I
75.02462959561856,52.57445825901737+6.821881769209206*I
20.090030422768933,47.55067467442667+6.821881769209206*I
14.765881809687826,44.72967807504128+6.821881769209206*I
31.351856504250122,49.70462944595798+6.821881769209206*I
42.08528799438491,50.78272648223568+6.821881769209206*I
39.34212386194963,50.54962263191362+6.821881769209206*I
21.37241216283752,47.91757588607013+6.821881769209206*I
30.076514456589734,49.53753865987217+6.821881769209206*I
92.18634450336899,53.15268870608776+6.821881769209206*I
50.869653739220894,51.405842364161245+6.821881769209206*I
97.95141858374245,53.318826094292604+6.821881769209206*I
38.18822069854613,50.44440207223134+6.821881769209206*I
61.15360268760401,51.97467295341086+6.821881769209206*I
65.46919119298659,52.17804603831481+6.821881769209206*I
19.911106300713627,47.49470397384808+6.821881769209206*I
53.395615837325664,51.55862828886239+6.821881769209206*I
70.13182997879917,52.37978039492117+6.821881769209206*I
94.16422149035009,53.21102557818104+6.821881769209206*I
77.63783019255229,52.67220901276492+6.821881769209206*I
53.69459017714428,51.57608196633763+6.821881769209206*I
12.252392917745112,40.7155090649049
39.35630362110308,50.55088748709325+6.821881769209206*I
94.5267669327068,53.221562888449384+6.821881769209206*I
87.32059247342917,53.00267312639781+6.821881769209206*I
68.08710120569498,52.29342099549239+6.821881769209206*I
58.22515533067005,51.82603612871706+6.821881769209206*I
23.728380722603987,48.47322509621436+6.821881769209206*I
11.686824786801694,42.77182334991199
29.366895685398788,49.43931577710934+6.821881769209206*I
66.8568281118543,52.23990022605771+6.821881769209206*I
75.37718178129094,52.58788484868968+6.821881769209206*I
50.74218543532493,51.397867227564944+6.821881769209206*I
93.59649015899078,53.194428696516376+6.821881769209206*I
34.917872910315566,50.118541547871914+6.821881769209206*I
53.495490320575755,51.56447301818156+6.821881769209206*I
6.943298031915646,46.47525145381091
49.74572613335832,51.334589404042966+6.821881769209206*I
84.30853144117316,52.90476104603347+6.821881769209206*I
56.90205058990418,51.75570967749711+6.821881769209206*I
39.99757298846478,50.607406486403136+6.821881769209206*I
31.467423560816087,49.71921564297347+6.821881769209206*I
90.90530883220276,53.11411467713828+6.821881769209206*I
71.50356109523099,52.435997319663585+6.821881769209206*I
20.411514940180922,47.648063697300515+6.821881769209206*I
82.1996083448999,52.8336944976996+6.821881769209206*I
22.884988262667534,48.28869716074415+6.821881769209206*I
9.949668424412067,45.004733997606
14.608641641558833,44.561140615306485+6.821881769209206*I
20.771896649067955,47.75272490695437+6.821881769209206*I
94.69784546066171,53.22651882603009+6.821881769209206*I
1.4573939432114429,46.92321411061933
83.4229994674167,52.875181592188454+6.821881769209206*I
86.83072975045641,52.987024726190704+6.821881769209206*I
50.84269539050936,51.404157913933844+6.821881769209206*I
32.99676318962912,49.90438766878994+6.821881769209206*I
15.417920564631942,45.32025134504679+6.821881769209206*I
63.2303834633511,52.07471855465036+6.821881769209206*I
84.20993253138164,52.90148590209279+6.821881769209206*I
